,Empresa_1,Empresa_2,Empresa_3,Empresa_4,Empresa_5,Empresa_6
2022-02-15,1351911.5683244877,1738809.75393578,322769.85490489146,7764.5604605585495,12240.9735,180521.122668659
2022-02-16,1361155.3632428595,1838754.1581162112,415940.51718828076,9205.368509073078,16851.827999999998,131722.68580375702
2022-02-17,1492144.6122644863,1876342.2523655817,639170.4233879761,15116.297161829805,15774.213,149182.94595986916
2022-02-18,1658802.5484934337,2035261.1196547528,848645.182131704,14699.844849786683,27957.951,311333.7162490515
2022-02-19,1666613.9907544658,1965501.4346063063,890160.0380251062,16335.17378066378,27593.023500000007,393765.46097596776
2022-02-20,1489745.4769122766,2002283.5005412353,837101.33163062,12062.373833573834,6735.7185,252430.4594740316
2022-02-21,1424072.3581795346,2010909.960496307,735848.8740897044,10179.658226600985,9149.4165,265839.7489946468
2022-02-22,1321807.1092481187,1912414.0489488456,601327.6997586957,10572.403471400396,9590.374500000002,220646.98112288918
2022-02-23,1307157.2210184918,1872913.8082879335,577199.5844311601,5821.71849679645,13066.452,185302.88548732118
2022-02-24,1588107.2160726578,1896966.906991284,633811.3656214743,10608.802826086954,16379.233499999991,181137.72648331558
2022-02-25,1651531.373648083,2049429.7525287136,673159.8325045079,11538.90481840194,14213.724,382112.4478816122
2022-02-26,1657800.7938324618,2215149.007949404,704420.9266577895,11079.893365617434,29669.513999999996,411528.70979905606
2022-02-27,1305639.3231836318,2197659.8268502653,595291.2467848926,7302.300226700251,8129.373,178144.7655877013
2022-02-28,1408850.0834148377,2179202.786077965,435586.4327187992,4603.778473581213,3453.5445,241547.8917281687
2022-03-01,1477460.4562252702,2196230.8123140866,394133.5952488201,6844.340362389815,7493.818500000001,314841.3242009821
2022-03-02,1440143.9864616687,2184956.701147233,421961.2856834283,5578.514658869395,7250.921999999998,352511.65440274356
2022-03-03,1582375.674596511,2249120.9707638635,398118.0310140691,7954.267252535007,8469.205500000002,278765.4381680847
2022-03-04,1573326.8409053339,2344552.27468688,422937.58194132993,7293.747391304349,21939.182999999997,317493.44989987096
2022-03-05,1599746.6232149934,2040810.203312271,483431.62782252097,12110.971964735514,26688.165000000008,383187.51589876984
2022-03-06,1164522.4911905823,2013517.1816176113,484965.65979109606,8797.208463476069,8197.5915,243701.66381707267
2022-03-07,1256168.1303801774,2199667.7756605432,572232.092935329,7524.186692160612,6930.619500000002,174734.5632350832
2022-03-08,1232987.9759854146,1932900.2621846327,613246.6184634573,6887.235648890986,5647.288500000001,208266.52524343345
2022-03-09,1306286.3400596413,2032179.2239508915,719564.5056106006,7852.2468460458595,7808.031,144450.84231785763
2022-03-10,1485576.7409155571,2106228.9614477865,886151.7320909833,12511.102328244271,8172.129,230807.60027489907
